"filename", "language", "XML", "JSON", "C#", "Properties", "comment", "blank", "total"
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\ConsoleEShopTest\obj\project.assets.json", "JSON", 0, 4867, 0, 0, 0, 0, 4867
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\ConsoleEShop\ConsoleEShop.csproj", "XML", 12, 0, 0, 0, 0, 5, 17
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\ConsoleEShop\EntitiesView\OrderView.cs", "C#", 0, 0, 15, 0, 3, 2, 20
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\ConsoleEShop\EntitiesView\ProductView.cs", "C#", 0, 0, 18, 0, 3, 2, 23
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\ConsoleEShop\EntitiesView\Roles\AdminView.cs", "C#", 0, 0, 10, 0, 3, 2, 15
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\ConsoleEShop\EntitiesView\Roles\GuestView.cs", "C#", 0, 0, 9, 0, 3, 2, 14
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\ConsoleEShop\EntitiesView\Roles\RegisteredUserView.cs", "C#", 0, 0, 9, 0, 3, 2, 14
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\ConsoleEShop\EntitiesView\Roles\UserView.cs", "C#", 0, 0, 24, 0, 3, 2, 29
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\ConsoleEShop\Exceptions\AccessException.cs", "C#", 0, 0, 16, 0, 10, 2, 28
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\ConsoleEShop\Program.cs", "C#", 0, 0, 734, 0, 1, 12, 747
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\ConsoleEShop\obj\ConsoleEShop.csproj.nuget.dgspec.json", "JSON", 0, 187, 0, 0, 0, 0, 187
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\ConsoleEShop\obj\ConsoleEShop.csproj.nuget.g.props", "XML", 15, 0, 0, 0, 0, 0, 15
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\ConsoleEShop\obj\ConsoleEShop.csproj.nuget.g.targets", "XML", 2, 0, 0, 0, 0, 0, 2
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\ConsoleEShop\obj\Debug\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 1, 1, 5
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\ConsoleEShop\obj\Debug\netcoreapp3.1\ConsoleEShop.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 10, 5, 24
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\ConsoleEShop\obj\Debug\netcoreapp3.1\ConsoleEShop.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 3, 0, 1, 4
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\ConsoleEShop\obj\Release\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 1, 1, 5
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\ConsoleEShop\obj\Release\netcoreapp3.1\ConsoleEShop.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 10, 5, 24
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\ConsoleEShop\obj\project.assets.json", "JSON", 0, 284, 0, 0, 0, 0, 284
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\DAL\ConsoleEShop.xml", "XML", 522, 0, 0, 0, 0, 1, 523
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\DAL\DAL.csproj", "XML", 9, 0, 0, 0, 0, 4, 13
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\DAL\DataBase\Context.cs", "C#", 0, 0, 21, 0, 14, 2, 37
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\DAL\Entities\Enums\Statuses.cs", "C#", 0, 0, 16, 0, 3, 2, 21
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\DAL\Entities\Order.cs", "C#", 0, 0, 12, 0, 3, 3, 18
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\DAL\Entities\Product.cs", "C#", 0, 0, 14, 0, 3, 2, 19
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\DAL\Entities\Roles\Admin.cs", "C#", 0, 0, 10, 0, 3, 2, 15
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\DAL\Entities\Roles\Guest.cs", "C#", 0, 0, 9, 0, 3, 2, 14
